Temperature,Relative_Humidity,Condition
26.7,67.62,2
27.3,66.67,0
26.8,71.92,2
27.2,64.71,2
25.9,66.73,2
25.3,62.49,0
27.3,57.11,0
25.9,60.1,0
25.5,65.13,0
26.3,60.2,2
27.1,64.39,2
25.7,71.15,2
26.1,69.51,2
26,72.19,2
27.5,62.34,2
27.5,58.87,0
25.9,61.91,0
26,59.24,2
25.3,60.57,0
25.1,64.29,0
26.7,64.61,0
27.3,63.61,0
27.6,67.19,0
27.7,64.58,0
26.5,68.22,2
25.2,74.93,2
26.2,68.53,2
28.1,64.79,2
27.4,66.38,2
28.4,57.67,2
28.3,63.68,0
27.2,66.14,2
26.7,68.25,2
27.1,69.87,2
27.5,66.16,2
28.1,64.44,0
27.9,65.42,0
26.7,70.96,2
27,67.99,2
26.5,69.11,2
27.5,64.2,2
26.3,68.01,2
28.8,62.68,2
29.7,60.3,0
28.4,65.6,2
28.3,65.64,2
27.2,66.68,0
28.1,62.45,0
28.8,62.65,0
27.9,62.87,0
28.9,62.94,0
29.2,60.83,0
28.1,67.74,0
26.8,70.97,0
29.4,61.46,0
30.5,54.67,0
29.3,63.22,2
30.2,53.04,0
29.3,57.32,0
28.5,64.82,0
28.5,60.49,0
30.2,64.95,2
30.1,60.75,2
28.2,70.39,2
29.9,62.86,0
24.4,84.44,0
31.1,61.04,2
29.1,67.88,0
30.4,62.67,0
29.8,60.67,2
30.6,61.92,2
29.6,66.66,2
30.1,66,0
29.7,67.79,2
30.3,63.55,2
30.5,57.38,2
30.7,64.23,2
31.1,61.95,2
30.5,65.92,2
30,69.3,0
31.1,64.11,2
31.3,60.97,2
31.4,57.6,2
30.8,63.84,2
29.7,65.41,5
30.2,67.64,2
28.5,72.05,5
30.3,66.87,5
29.7,67.46,2
30,67.05,2
29.3,71.65,5
29.4,69.85,2
29.8,69.23,5
30.7,64.87,5
29.1,73.82,2
30,71.59,2
27.8,77.97,5
28,74.87,2
28.4,74.01,5
28.9,71.23,5
29.1,69.57,5
28.3,72.24,2
28.8,70.05,5
28.1,77.93,5
29.1,73.24,5
29,75.07,5
27.8,81.04,2
30.4,68.03,2
29.9,70.6,2
29.6,70.49,2
30.1,70.01,5
30.7,67.16,2
29.1,74.41,5
26.3,87.13,5
28.4,74.44,5
30.9,65.25,2
30,68.44,5
30.1,70.9,2
29.9,67.63,5
30.8,66.85,2
29.9,70.66,2
31.6,65.76,2
30.1,73.45,5
30,72.94,5
28.2,79.35,5
26.8,88.15,5
27.1,85.09,5
28.2,80.03,5
28.1,77.87,5
26.4,86.49,5
26.9,84.96,5
27.5,81.86,5
26.2,86.06,5
25.9,86.44,2
27.6,79.13,5
26.4,84.95,5
27.5,80.18,5
27.6,79.09,2
28.8,72.22,2
28.4,77.81,2
28.3,73.62,5
29.8,68.58,5
29.2,69.54,5
27.2,80.63,5
28.4,73.37,5
28.7,72.35,2
29.4,67.76,2
29.7,68.43,2
29.5,73.42,2
28.3,78.4,5
28,78.65,5
28.9,76.68,2
28.3,77.12,2
28.5,74.09,5
27.7,76.43,5
27.3,78.25,2
27.9,81.49,5
28.7,77.35,5
27.6,83.58,5
27.3,83.87,5
27.7,83.1,5
26.8,84.22,5
27.3,81.59,5
27.4,82.52,5
28.4,77.73,5
27,83.67,5
27,83.43,5
26.4,82.73,5
26.9,84.34,5
28.3,74.87,5
27.8,79.21,5
