Date,MaxTemp,MinTemp,Temp,HeatIndex,Precipitation,WindSpeed,WindDirection,Visibility,CloudCover,RelativeHumidity,Conditions
5/24/2000 0:00,32.1,25,29.3,38.4,1.7,14.8,105.45,9.1,48.6,74.5,"Rain, Partially cloudy"
5/25/2000 0:00,32.2,25,28.9,39.2,0.7,20.5,147.14,8.5,50.5,74.14,"Rain, Partially cloudy"
5/26/2000 0:00,32.1,25.9,29.2,39.3,0,24.1,163.57,7.6,57.1,75.96,Partially cloudy
5/27/2000 0:00,32.1,21.4,28.7,36.7,1.4,24.1,89.7,9.7,26.4,72.79,"Rain, Partially cloudy"
5/28/2000 0:00,30.1,20.5,27.6,36.3,1,24.1,168.18,8.7,40.6,80.95,"Rain, Partially cloudy"
5/29/2000 0:00,32.1,25,28.9,38,0,29.5,144.12,9.5,37.5,76.6,Partially cloudy
5/30/2000 0:00,32.1,26.3,29.4,36.9,1,25.9,106.67,10.2,44.9,70.04,"Rain, Partially cloudy"
5/31/2000 0:00,32.1,24.9,29.3,35,0,27.7,127.5,10.4,30.6,64.92,Partially cloudy
6/1/2000 0:00,31.1,23.1,26.1,32.7,0,16.6,183.75,9.3,41.5,77.76,Partially cloudy
6/2/2000 0:00,31.4,26.1,29.2,34.7,0.7,33.5,110.67,10.1,44.7,69.19,"Rain, Partially cloudy"
6/3/2000 0:00,31.1,21.2,26.7,36.7,1,24.1,121.43,8.4,62,81.72,"Rain, Partially cloudy"
6/4/2000 0:00,30.1,24.6,27.6,35.3,33.7,16.6,131.25,9.8,58.6,83.02,"Rain, Partially cloudy"
6/5/2000 0:00,31.1,26.1,28.5,36.7,0,22.3,123.33,9.8,56.9,77.87,Partially cloudy
6/6/2000 0:00,31.4,25,28.4,35.6,0,31.3,103.33,8.6,38.1,76.75,Partially cloudy
6/7/2000 0:00,31.1,25,27.9,34.7,0.1,24.1,168,9,41.8,76.36,"Rain, Partially cloudy"
6/8/2000 0:00,32.1,20.2,28.1,35,0,18.4,157.69,9.1,37,69.87,Partially cloudy
6/9/2000 0:00,32.1,23.3,27.4,34.3,0,22.3,93.33,9.8,17.6,70.31,Clear
6/10/2000 0:00,30.1,20.4,27,34.3,0.7,14.8,150.63,7.7,43.1,74.12,"Rain, Partially cloudy"
6/11/2000 0:00,31.4,21.8,27.2,34.2,0,18.4,131,7.8,26.5,74,Partially cloudy
6/12/2000 0:00,31.1,22.7,27.3,36.3,12.1,18.3,128.17,7.9,33.3,74.49,"Rain, Partially cloudy"
6/13/2000 0:00,31.6,20.2,26.2,37,0.7,16.6,168,7,47.7,79.68,"Rain, Partially cloudy"
6/14/2000 0:00,31.4,17.7,26.8,32.8,0.7,14.8,126.67,9.1,50.1,70.62,"Rain, Partially cloudy"
6/15/2000 0:00,31.2,23.9,28.4,33.8,0,31.3,123.75,9.5,25.5,65.46,Partially cloudy
6/16/2000 0:00,31.1,23.1,27.4,32.6,0.7,24.1,146,8.8,35.9,69.36,"Rain, Partially cloudy"
6/17/2000 0:00,29.1,25,27.3,32.9,0.3,37.1,103,9.4,58.7,76.64,"Rain, Partially cloudy"
6/18/2000 0:00,31.1,20.2,28.8,36.7,3,37.1,125.25,9.7,32.5,68.87,"Rain, Partially cloudy"
6/19/2000 0:00,28.2,20.2,26,30.2,2.9,27.7,239.23,9.5,60,81.11,"Rain, Partially cloudy"
6/20/2000 0:00,31.1,21.3,28.1,35.6,3,18.2,162.71,8,51.8,72.18,"Rain, Partially cloudy"
6/21/2000 0:00,31.1,24.6,28.5,34.7,0,18.4,130.77,9.2,38.7,69.8,Partially cloudy
6/22/2000 0:00,31.1,20.3,27.4,34.7,0.7,27.4,142.54,9.5,45.6,75.1,"Rain, Partially cloudy"
6/23/2000 0:00,31.1,19.8,28,34.7,0,31.3,96.15,8.3,21.4,72.04,Clear
6/24/2000 0:00,31.1,19.8,27,31.9,0,24.1,161.11,9.4,36.2,68.69,Partially cloudy
6/25/2000 0:00,31.6,17.3,27.7,33.8,0.7,22.3,108,9.4,34.3,63.74,"Rain, Partially cloudy"
6/26/2000 0:00,31.1,18.3,27,33.1,0.7,27.4,128.82,8.9,17.9,66.71,Rain
6/27/2000 0:00,31.2,17,25.1,33.1,0.7,18.4,162.8,9.5,25.2,73.61,"Rain, Partially cloudy"
6/28/2000 0:00,31.1,18.3,26.7,33.8,0,20.5,176.18,8.4,24,69.07,Clear
6/29/2000 0:00,31.2,18.5,27,34,0.7,16.6,125,7.3,40,70.94,"Rain, Partially cloudy"
6/30/2000 0:00,31.1,18,27.4,33.8,0.7,22.3,137.09,9.3,25,66.97,Rain
7/1/2000 0:00,30.2,16.2,25.6,33.5,0,25.9,141.11,9.1,25,78.41,Clear
7/2/2000 0:00,30.2,24.1,27.9,32.6,0,18.4,118.33,8.5,40,69.99,Partially cloudy
7/3/2000 0:00,31.2,18.5,28,33.8,0.7,18.4,115.83,9,27.2,67.44,"Rain, Partially cloudy"
7/4/2000 0:00,31.9,18.5,28.1,33.8,0.7,14.8,117.27,9.1,20.7,70.19,Rain
7/5/2000 0:00,31.7,24.1,28.2,34.8,0,14.8,108.89,9.2,20,70.86,Clear
7/6/2000 0:00,32.1,23.1,28.8,33.8,0,25.9,117.86,9.8,15.6,64.5,Clear
7/7/2000 0:00,31.1,24.1,27.9,34.7,0,18.4,160,8.9,23,70.75,Clear
